station_id,station_name,city,state,n_observations,missing_pm25_pct,date_range_start,date_range_end,expected_hourly_slots,continuity_pct,usable_training_rows
DL027,"Patparganj, Delhi - DPCC",Delhi,Delhi,21134,1.62,2018-02-01 11:00:00,2020-07-01,21134,100.0,20785
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,21136,1.64,2018-02-01 09:00:00,2020-07-01,21136,100.0,20783
DL026,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,21134,1.86,2018-02-01 11:00:00,2020-07-01,21134,100.0,20734
DL038,"Wazirpur, Delhi - DPCC",Delhi,Delhi,21134,2.01,2018-02-01 11:00:00,2020-07-01,21134,100.0,20704
DL035,"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,21134,2.2,2018-02-01 11:00:00,2020-07-01,21134,100.0,20663
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,21136,2.53,2018-02-01 09:00:00,2020-07-01,21136,100.0,20595
DL037,"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,21134,2.64,2018-02-01 11:00:00,2020-07-01,21134,100.0,20571
DL032,"Rohini, Delhi - DPCC",Delhi,Delhi,21134,3.02,2018-02-01 11:00:00,2020-07-01,21134,100.0,20490
DL023,"Narela, Delhi - DPCC",Delhi,Delhi,21134,3.45,2018-02-01 11:00:00,2020-07-01,21134,100.0,20398
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,21134,4.19,2018-02-01 11:00:00,2020-07-01,21134,100.0,20242
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,21685,7.98,2018-01-09 12:00:00,2020-07-01,21685,100.0,19948
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,22784,13.01,2017-11-24 17:00:00,2020-07-01,22784,100.0,19814
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,21136,10.73,2018-02-01 09:00:00,2020-07-01,21136,100.0,18869
WB013,"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,19503,9.59,2018-04-10 10:00:00,2020-07-01,19503,100.0,17626
HR011,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,Haryana,21912,21.1,2017-12-31 01:00:00,2020-07-01,21912,100.0,17283
DL036,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,17478,1.24,2018-07-03 19:00:00,2020-07-01,17478,100.0,17255
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,17454,2.43,2018-07-04 19:00:00,2020-07-01,17454,100.0,17023
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,17478,2.69,2018-07-03 19:00:00,2020-07-01,17478,100.0,17002
DL029,"Pusa, Delhi - DPCC",Delhi,Delhi,17478,6.1,2018-07-03 19:00:00,2020-07-01,17478,100.0,16405
KA011,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,17574,7.6,2018-06-29 19:00:00,2020-07-01,17574,100.0,16233
OD001,"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,Odisha,22468,28.09,2017-12-07 21:00:00,2020-07-01,22468,100.0,16150
KA004,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,17674,11.12,2018-06-25 15:00:00,2020-07-01,17674,100.0,15704
KA007,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,17479,10.3,2018-07-03 18:00:00,2020-07-01,17479,100.0,15672
OD002,"Talcher Coalfields,Talcher - OSPCB",Talcher,Odisha,22161,29.79,2017-12-20 16:00:00,2020-07-01,22161,100.0,15559
KA006,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,17677,12.11,2018-06-25 12:00:00,2020-07-01,17677,100.0,15532
